folder,file,size
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069868/1,1_G4KNRK069868_LowerZone2[ALWAYS]_Step4_[202450]_OK.jpg,352432
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069868/1,1_G4KNRK069868_LowerZone1[ALWAYS]_Step3_[202450]_OK.jpg,356861
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069868/1,1_G4KNRK069868_UpperZone2[ALWAYS]_Step2_[202450]_OK.jpg,716667
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069868/1,1_G4KNRK069868_UpperZone1[ALWAYS]_Step1_[202450]_OK.jpg,751257
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070070/1,1_G4KNRK070070_UpperZone1[ALWAYS]_Step1_[232758]_OK.jpg,731285
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070070/1,1_G4KNRK070070_LowerZone1[ALWAYS]_Step3_[232758]_OK.jpg,371155
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070070/1,1_G4KNRK070070_LowerZone2[ALWAYS]_Step4_[232758]_OK.jpg,351431
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070070/1,1_G4KNRK070070_UpperZone2[ALWAYS]_Step2_[232758]_OK.jpg,697699
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069855/1,1_G4KNRK069855_UpperZone2[ALWAYS]_Step2_[201454]_OK.jpg,682255
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069855/1,1_G4KNRK069855_UpperZone1[ALWAYS]_Step1_[201454]_OK.jpg,718476
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069855/1,1_G4KNRK069855_LowerZone2[ALWAYS]_Step4_[201454]_OK.jpg,344703
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069855/1,1_G4KNRK069855_LowerZone1[ALWAYS]_Step3_[201454]_OK.jpg,359323
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069906/1,1_G4KNRK069906_UpperZone1[ALWAYS]_Step1_[210612]_OK.jpg,727470
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069906/1,1_G4KNRK069906_UpperZone2[ALWAYS]_Step2_[210612]_OK.jpg,681584
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069906/1,1_G4KNRK069906_LowerZone1[ALWAYS]_Step3_[210612]_OK.jpg,365915
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069906/1,1_G4KNRK069906_LowerZone2[ALWAYS]_Step4_[210612]_OK.jpg,352872
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069873/1,1_G4KNRK069873_LowerZone2[ALWAYS]_Step4_[202833]_OK.jpg,348131
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069873/1,1_G4KNRK069873_LowerZone1[ALWAYS]_Step3_[202833]_OK.jpg,358631
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069873/1,1_G4KNRK069873_UpperZone2[ALWAYS]_Step2_[202833]_OK.jpg,665988
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069873/1,1_G4KNRK069873_UpperZone1[ALWAYS]_Step1_[202833]_OK.jpg,730592
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069865/1,1_G4KNRK069865_LowerZone1[ALWAYS]_Step3_[202205]_OK.jpg,367845
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069865/1,1_G4KNRK069865_UpperZone2[ALWAYS]_Step2_[202205]_OK.jpg,683480
